分类: 央视频道, 名称: CCTV-1, 总数: 160, 有效: 8, 有效率: 5.00%, IPv4: 148, IPv6: 12, 最小延迟: 9 ms, 最高速率: 58.03 M/s, 平均速率: 7.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-2, 总数: 134, 有效: 11, 有效率: 8.21%, IPv4: 123, IPv6: 11, 最小延迟: 23 ms, 最高速率: 50.89 M/s, 平均速率: 2.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-3, 总数: 129, 有效: 8, 有效率: 6.20%, IPv4: 117, IPv6: 12, 最小延迟: 509 ms, 最高速率: 14.13 M/s, 平均速率: 4.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.31, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-4, 总数: 157, 有效: 5, 有效率: 3.18%, IPv4: 147, IPv6: 10, 最小延迟: 11 ms, 最高速率: 7.15 M/s, 平均速率: 2.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.75, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-5, 总数: 141, 有效: 11, 有效率: 7.80%, IPv4: 126, IPv6: 15, 最小延迟: 24 ms, 最高速率: 67.42 M/s, 平均速率: 15.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.19, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-5+, 总数: 97, 有效: 8, 有效率: 8.25%, IPv4: 82, IPv6: 15, 最小延迟: 255 ms, 最高速率: 7.60 M/s, 平均速率: 3.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-6, 总数: 130, 有效: 9, 有效率: 6.92%, IPv4: 114, IPv6: 16, 最小延迟: 14 ms, 最高速率: 7.00 M/s, 平均速率: 3.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.27, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-7, 总数: 131, 有效: 7, 有效率: 5.34%, IPv4: 121, IPv6: 10, 最小延迟: 11 ms, 最高速率: 7.78 M/s, 平均速率: 3.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-8, 总数: 124, 有效: 8, 有效率: 6.45%, IPv4: 111, IPv6: 13, 最小延迟: 12 ms, 最高速率: 6.97 M/s, 平均速率: 2.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.10, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-9, 总数: 130, 有效: 12, 有效率: 9.23%, IPv4: 119, IPv6: 11, 最小延迟: 22 ms, 最高速率: 17.37 M/s, 平均速率: 4.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.55, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-10, 总数: 131, 有效: 7, 有效率: 5.34%, IPv4: 119, IPv6: 12, 最小延迟: 14 ms, 最高速率: 7.11 M/s, 平均速率: 3.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-11, 总数: 117, 有效: 10, 有效率: 8.55%, IPv4: 106, IPv6: 11, 最小延迟: 12 ms, 最高速率: 7.38 M/s, 平均速率: 2.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.75, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-12, 总数: 126, 有效: 11, 有效率: 8.73%, IPv4: 114, IPv6: 12, 最小延迟: 11 ms, 最高速率: 10.83 M/s, 平均速率: 3.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.22, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-13, 总数: 124, 有效: 8, 有效率: 6.45%, IPv4: 113, IPv6: 11, 最小延迟: 241 ms, 最高速率: 8.05 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.39, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-14, 总数: 134, 有效: 11, 有效率: 8.21%, IPv4: 123, IPv6: 11, 最小延迟: 16 ms, 最高速率: 13.47 M/s, 平均速率: 2.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.40, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-15, 总数: 124, 有效: 10, 有效率: 8.06%, IPv4: 111, IPv6: 13, 最小延迟: 13 ms, 最高速率: 13.76 M/s, 平均速率: 3.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.39, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-16, 总数: 80, 有效: 16, 有效率: 20.00%, IPv4: 71, IPv6: 9, 最小延迟: 12 ms, 最高速率: 130.95 M/s, 平均速率: 36.80 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-17, 总数: 98, 有效: 14, 有效率: 14.29%, IPv4: 87, IPv6: 11, 最小延迟: 16 ms, 最高速率: 111.78 M/s, 平均速率: 17.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV8K, 总数: 5, 有效: 2, 有效率: 40.00%, IPv4: 4, IPv6: 1, 最小延迟: 54 ms, 最高速率: 11.08 M/s, 平均速率: 10.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV4K, 总数: 28, 有效: 10, 有效率: 35.71%, IPv4: 25, IPv6: 3, 最小延迟: 47 ms, 最高速率: 56.87 M/s, 平均速率: 22.40 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV世界地理, 总数: 22, 有效: 6, 有效率: 27.27%, IPv4: 21, IPv6: 1, 最小延迟: 428 ms, 最高速率: 46.68 M/s, 平均速率: 12.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV兵器科技, 总数: 22, 有效: 6, 有效率: 27.27%, IPv4: 21, IPv6: 1, 最小延迟: 549 ms, 最高速率: 7.67 M/s, 平均速率: 5.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV文化精品, 总数: 14, 有效: 6, 有效率: 42.86%, IPv4: 12, IPv6: 2, 最小延迟: 630 ms, 最高速率: 19.10 M/s, 平均速率: 7.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV央视台球, 总数: 21, 有效: 6, 有效率: 28.57%, IPv4: 19, IPv6: 2, 最小延迟: 420 ms, 最高速率: 9.67 M/s, 平均速率: 6.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV女性时尚, 总数: 21, 有效: 6, 有效率: 28.57%, IPv4: 20, IPv6: 1, 最小延迟: 577 ms, 最高速率: 7.58 M/s, 平均速率: 6.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV怀旧剧场, 总数: 23, 有效: 8, 有效率: 34.78%, IPv4: 21, IPv6: 2, 最小延迟: 134 ms, 最高速率: 102.00 M/s, 平均速率: 17.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV第一剧场, 总数: 24, 有效: 6, 有效率: 25.00%, IPv4: 21, IPv6: 3, 最小延迟: 579 ms, 最高速率: 6.97 M/s, 平均速率: 4.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
